Tag ID,Tag Time,Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract
0,2026-04-27 18:07:37,2.0,10.0,3.0,No
0,2026-04-27 20:01:16,2.0,10.0,0.0,No
0,2026-04-27 20:14:55,1.0,10.0,0.0,No
0,2026-04-27 20:15:06,0,0,0,Yes
0,2026-04-27 20:16:00,1.0,10.0,3.0,No
0,2026-04-27 20:17:19,0.0,10.0,3.0,No
0,2026-04-27 20:17:36,0.0,10.0,3.0,No
0,2026-04-27 20:32:59,1.0,10.0,3.0,No
0,2026-04-27 20:38:46,2.0,10.0,2.0,No
0,2026-04-27 20:39:00,0,0,0,Yes
0,2026-04-27 20:39:38,1.0,10.0,3.0,No
0,2026-04-27 20:39:56,1.0,10.0,3.0,No
0,2026-04-27 20:40:36,1.0,10.0,3.0,No
0,2026-04-27 20:42:06,2.0,10.0,3.0,No
0,2026-04-27 21:01:55,0.0,10.0,3.0,No
0,2026-04-27 21:02:36,1.0,10.0,3.0,No
0,2026-04-27 21:02:53,3.0,10.0,0.0,No
0,2026-04-27 21:03:36,1.0,10.0,3.0,No
0,2026-04-27 21:04:58,1.0,10.0,3.0,No
0,2026-04-27 21:06:17,1.0,10.0,3.0,No
0,2026-04-27 21:06:38,1.0,10.0,3.0,No
0,2026-04-27 21:06:54,1.0,10.0,4.0,No
0,2026-04-27 21:07:28,1.0,10.0,3.0,No
0,2026-04-27 21:07:47,0.0,10.0,3.0,No
0,2026-04-27 21:08:05,0.0,10.0,3.0,No
0,2026-04-27 21:08:53,1.0,10.0,3.0,No
0,2026-04-27 21:09:39,1.0,10.0,3.0,No
0,2026-04-27 21:09:54,3.0,10.0,3.0,No
0,2026-04-27 21:10:17,0.0,10.0,4.0,No
0,2026-04-27 21:10:34,1.0,10.0,4.0,No
0,2026-04-27 21:10:50,2.0,10.0,3.0,No
0,2026-04-27 21:11:19,1.0,10.0,1.0,No
0,2026-04-27 21:11:31,0,0,0,Yes
0,2026-04-27 21:11:46,0.0,10.0,4.0,No
0,2026-04-27 21:13:25,0.0,10.0,4.0,No
0,2026-04-27 21:13:39,0,0,0,Yes
0,2026-04-27 21:14:21,1.0,10.0,3.0,No
0,2026-04-27 21:14:47,1.0,10.0,3.0,No
0,2026-04-27 21:15:17,1.0,10.0,3.0,No
0,2026-04-27 21:15:45,1.0,10.0,3.0,No
0,2026-04-27 21:16:09,0.0,10.0,2.0,No
0,2026-04-27 21:16:21,0,0,0,Yes
0,2026-04-27 21:16:49,1.0,10.0,3.0,No
0,2026-04-27 21:17:38,1.0,10.0,2.0,No
0,2026-04-27 21:17:51,0,0,0,Yes
0,2026-04-27 21:20:36,1.0,10.0,4.0,No
0,2026-04-27 21:21:01,0.0,10.0,2.0,No
0,2026-04-27 21:21:13,0,0,0,Yes
0,2026-04-27 21:21:22,1.0,10.0,3.0,No
